Date,Open,High,Low,Close,"Adj Close",Volume
2020-01-10,0.58399999141693,0.58399999141693,0.58399999141693,0.58399999141693,0.58399999141693,0
2020-01-10,0.58410000801086,0.58999997377396,0.583899974823,0.5896999835968,0.5896999835968,71638000
2020-01-10,0.58910000324249,0.5939000248909,0.58819997310638,0.59280002117157,0.59280002117157,95589000
2020-01-10,0.59280002117157,0.59289997816086,0.59060001373291,0.59160000085831,0.59160000085831,55618000
2020-01-10,0.59160000085831,0.59600001573563,0.591000020504,0.59589999914169,0.59589999914169,105106000
2020-01-10,0.59589999914169,0.59659999608994,0.59329998493195,0.59560000896454,0.59560000896454,53472000
2020-01-10,0.59539997577667,0.59600001573563,0.5935999751091,0.59369999170303,0.59369999170303,35462000
2020-01-10,0.59369999170303,0.59450000524521,0.59310001134872,0.59369999170303,0.59369999170303,15184000
2020-01-10,0.59369999170303,0.59369999170303,0.58859997987747,0.58920001983643,0.58920001983643,76153000
2020-01-10,0.58929997682571,0.59200000762939,0.58910000324249,0.59009999036789,0.59009999036789,14726000
2020-01-10,0.59009999036789,0.59200000762939,0.58850002288818,0.59200000762939,0.59200000762939,21570000
2020-01-10,0.59140002727509,0.59200000762939,0.59060001373291,0.59200000762939,0.59200000762939,10401000
2020-01-10,0.59189999103546,0.59189999103546,0.58990001678467,0.591000020504,0.591000020504,13807000
2020-01-10,0.59090000391006,0.59179997444153,0.5906999707222,0.59130001068115,0.59130001068115,587120000
2020-01-10,0.59109997749329,0.59140002727509,0.59039998054504,0.59079998731613,0.59079998731613,8794000
2020-01-10,0.59079998731613,0.59149998426437,0.59060001373291,0.59109997749329,0.59109997749329,12653000
2020-01-10,0.59090000391006,0.59189999103546,0.59090000391006,0.591000020504,0.591000020504,5518000
2020-01-10,0.591000020504,0.59149998426437,0.58999997377396,0.59030002355576,0.59030002355576,11600000
2020-01-10,0.59039998054504,0.59039998054504,0.58569997549057,0.58730000257492,0.58730000257492,62035000
2020-01-10,0.58730000257492,0.58950001001358,0.5871000289917,0.58950001001358,0.58950001001358,13968000
2020-01-10,0.58950001001358,0.58990001678467,0.58670002222061,0.58749997615814,0.58749997615814,22880000
2020-01-10,0.58749997615814,0.58939999341965,0.5867999792099,0.58910000324249,0.58910000324249,9922000
2020-01-10,0.58910000324249,0.591000020504,0.58910000324249,0.59079998731613,0.59079998731613,16364000
2020-01-10,0.59079998731613,0.59079998731613,0.58910000324249,0.59020000696182,0.59020000696182,13707000
2020-01-10,0.59020000696182,0.59090000391006,0.58910000324249,0.58950001001358,0.58950001001358,18119000
2020-01-10,0.58920001983643,0.58950001001358,0.58840000629425,0.58929997682571,0.58929997682571,8496000
2020-01-10,0.58899998664856,0.58920001983643,0.58850002288818,0.58880001306534,0.58880001306534,5213000
2020-01-10,0.58869999647141,0.58939999341965,0.58850002288818,0.58920001983643,0.58920001983643,3220000
2020-01-10,0.58920001983643,0.58920001983643,0.58639997243881,0.58799999952316,0.58799999952316,21192000
2020-01-10,0.58770000934601,0.58929997682571,0.58770000934601,0.58819997310638,0.58819997310638,7479000
2020-01-10,0.58819997310638,0.58869999647141,0.58719998598099,0.58819997310638,0.58819997310638,5394000
2020-01-10,0.58850002288818,0.58859997987747,0.58799999952316,0.58829998970032,0.58829998970032,2021000
2020-01-10,0.58829998970032,0.58910000324249,0.58829998970032,0.58890002965927,0.58890002965927,2688000
2020-01-10,0.58890002965927,0.58910000324249,0.58840000629425,0.58869999647141,0.58869999647141,2519000
2020-01-10,0.58840000629425,0.58999997377396,0.58840000629425,0.58990001678467,0.58990001678467,7557000
2020-01-10,0.58990001678467,0.58999997377396,0.58850002288818,0.58869999647141,0.58869999647141,5606000
2020-01-10,0.58869999647141,0.58869999647141,0.58840000629425,0.58850002288818,0.58850002288818,1036000
2020-01-10,0.58850002288818,0.58950001001358,0.5881000161171,0.58939999341965,0.58939999341965,5571000
2020-01-10,0.58910000324249,0.58950001001358,0.58869999647141,0.58890002965927,0.58890002965927,2178000
2020-01-10,0.58899998664856,0.58899998664856,0.58869999647141,0.58899998664856,0.58899998664856,672000
2020-01-10,0.58899998664856,0.58980000019073,0.58880001306534,0.58980000019073,0.58980000019073,3732000
2020-01-10,0.58980000019073,0.58990001678467,0.58899998664856,0.58950001001358,0.58950001001358,9991000
2020-01-10,0.58910000324249,0.59090000391006,0.58910000324249,0.59090000391006,0.59090000391006,8917000
2020-01-10,0.59039998054504,0.59160000085831,0.59039998054504,0.59049999713898,0.59049999713898,8681000
2020-01-10,0.59049999713898,0.59119999408722,0.58960002660751,0.59009999036789,0.59009999036789,9424000
2020-01-10,0.58990001678467,0.59030002355576,0.58950001001358,0.59030002355576,0.59030002355576,1035000
2020-01-10,0.58999997377396,0.59049999713898,0.5881000161171,0.5881000161171,0.5881000161171,11478000
2020-01-10,0.5881000161171,0.58880001306534,0.58789998292923,0.58880001306534,0.58880001306534,15456000
2020-01-10,0.58869999647141,0.58899998664856,0.58759999275208,0.58780002593994,0.58780002593994,10405000
2020-01-10,0.58780002593994,0.58929997682571,0.58780002593994,0.58899998664856,0.58899998664856,3368000
2020-01-10,0.58890002965927,0.59020000696182,0.58890002965927,0.58999997377396,0.58999997377396,5861000
2020-01-10,0.58999997377396,0.59009999036789,0.58899998664856,0.58929997682571,0.58929997682571,3454000
2020-01-10,0.58939999341965,0.58980000019073,0.58929997682571,0.58950001001358,0.58950001001358,4777000
2020-01-10,0.58950001001358,0.59020000696182,0.58899998664856,0.58990001678467,0.58990001678467,6370000
